LSOA2011,AvPTAI2015,PTAL,PTAIHigh,PTAILow
E01000001,69.82330,6b,97.44350,35.91900
E01000002,83.78200,6b,117.91200,66.35030
E01000003,41.74170,6b,49.53180,37.36350
E01000005,85.88930,6b,120.84700,45.91680
E01000006,22.45580,5.00000,34.10540,0.00000
E01000007,33.30230,6a,47.81170,22.33180
E01000008,7.39059,2.00000,30.94060,0.00000
E01000009,38.36410,6a,43.70880,33.77520
E01000010,32.28600,6a,42.93560,8.46497
E01000011,31.91670,6a,36.32990,26.64560
E01000012,16.23140,4.00000,27.05210,2.20301
E01000013,13.14490,3.00000,20.89620,1.99958
E01000014,7.46001,2.00000,16.28660,0.00000
E01000015,8.29508,2.00000,15.16190,2.07213
E01000016,5.11561,2.00000,14.51790,0.00000
E01000017,8.20281,2.00000,13.51860,5.08410
E01000018,7.37822,2.00000,13.68450,2.44621
E01000019,4.58686,1b,7.19492,2.12177
E01000020,6.75302,2.00000,8.79594,3.96940
E01000021,4.86539,1b,8.41557,1.91925
E01000022,6.39859,2.00000,7.07518,5.64630
E01000023,7.01491,2.00000,9.25147,5.31493
E01000024,7.43551,2.00000,9.33160,4.55600
E01000025,5.75121,2.00000,7.31673,4.52295
E01000027,3.85844,1b,6.79676,0.00000
E01000028,3.01489,1b,4.71175,0.00000
E01000029,2.51710,1b,5.82126,0.00000
E01000030,4.82101,1b,7.31291,3.66018
E01000031,4.07693,1b,8.02453,0.00000
E01000032,6.68560,2.00000,16.51200,0.00000
E01000033,3.91504,1b,5.76066,2.18765
E01000034,3.51145,1b,7.74592,2.16185
E01000035,6.77780,2.00000,13.11110,0.00000
E01000036,7.34586,2.00000,13.53630,0.00000
E01000037,2.32273,1a,7.71771,0.00000
E01000038,8.36135,2.00000,11.36690,2.61415
E01000039,1.99736,1a,8.57395,0.00000
E01000040,9.00812,2.00000,12.42470,3.81673
E01000041,5.72093,2.00000,9.29557,3.93766
E01000042,8.48745,2.00000,14.21500,0.00000
E01000043,7.26782,2.00000,13.72890,2.10739
E01000044,8.71180,2.00000,33.63590,2.85249
E01000045,7.08704,2.00000,13.16900,2.05132
E01000046,6.09177,2.00000,9.43707,0.00000
E01000048,8.13742,2.00000,11.13290,6.25450
E01000049,7.73561,2.00000,10.97980,3.83885
E01000050,23.44600,5.00000,33.05050,8.90522
E01000051,13.43920,3.00000,34.28980,8.17154
E01000052,7.91239,2.00000,11.97480,1.94151
E01000053,5.84284,2.00000,13.36690,0.00000
E01000054,6.31438,2.00000,9.66003,0.00000
E01000055,7.78620,2.00000,9.61568,4.26669
E01000056,1.62771,1a,4.58635,0.00000
E01000057,9.98087,2.00000,12.94710,0.00000
E01000058,7.25869,2.00000,9.74211,2.40983
E01000059,5.43468,2.00000,10.90700,1.90957
E01000060,4.72838,1b,12.28000,0.00000
E01000061,7.36381,2.00000,12.74270,0.00000
E01000062,4.48750,1b,6.67155,1.65781
E01000063,7.42822,2.00000,9.76543,5.41955
E01000064,4.11487,1b,6.47500,2.02134
E01000065,5.82993,2.00000,8.72635,2.80323
E01000066,3.48363,1b,7.42296,0.00000
E01000067,5.81071,2.00000,9.75767,0.00000
E01000068,16.95290,4.00000,35.50240,0.00000
E01000069,8.91029,2.00000,11.79650,4.18423
E01000070,9.08794,2.00000,23.37520,2.58635
E01000071,8.50495,2.00000,16.29880,0.00000
E01000072,3.47080,1b,8.14300,0.00000
E01000073,3.68102,1b,6.55727,0.00000
E01000074,5.22423,2.00000,10.42040,1.97661
E01000075,9.06998,2.00000,15.39510,3.39248
E01000076,5.92267,2.00000,11.13080,2.02071
E01000077,7.48654,2.00000,9.67410,4.18383
E01000078,6.90947,2.00000,9.08853,3.56622
E01000079,5.87476,2.00000,11.27420,2.36546
E01000080,5.88791,2.00000,7.88025,2.45281
E01000081,4.95850,1b,7.29953,2.18351
E01000082,4.94285,1b,8.25093,3.22981
E01000083,7.38619,2.00000,8.74340,6.26787
E01000084,13.91590,3.00000,20.84500,7.77839
E01000085,13.55810,3.00000,16.81370,11.50250
E01000086,11.32460,3.00000,13.92720,5.47187
E01000087,7.10130,2.00000,16.23930,1.92564
E01000088,4.09005,1b,10.00270,2.10428
E01000089,3.14651,1b,5.95604,0.00000
E01000090,3.18720,1b,10.24880,0.00000
E01000091,4.69844,1b,6.05938,3.33673
E01000092,2.50159,1b,9.83879,0.00000
E01000093,4.76951,1b,7.60286,2.09904
E01000094,3.08911,1b,6.79820,0.00000
E01000095,3.88439,1b,13.29420,0.00000
E01000096,3.51993,1b,7.09582,0.00000
E01000097,14.57060,3.00000,18.04660,13.49080
E01000098,11.05630,3.00000,15.47190,7.58258
E01000099,9.59104,2.00000,14.45110,3.59655
E01000100,4.91511,1b,9.20906,2.76203
E01000101,8.70126,2.00000,11.72800,2.49569
E01000102,5.78336,2.00000,8.32672,2.20234
E01000103,3.04832,1b,11.41860,0.00000
E01000104,8.24809,2.00000,12.75610,2.30375
E01000105,8.91660,2.00000,13.68910,2.29305
E01000106,4.76699,1b,8.00885,2.14121
E01000107,2.67607,1b,12.22640,0.00000
E01000108,9.58960,2.00000,14.01920,0.00000
E01000109,4.30923,1b,7.96197,2.78500
E01000110,5.20468,2.00000,8.65240,1.89979
E01000111,5.31493,2.00000,8.75081,2.57122
E01000112,9.71421,2.00000,17.86170,0.00000
E01000113,14.53770,3.00000,18.22480,11.04280
E01000114,5.97464,2.00000,10.80110,1.86476
E01000115,7.01025,2.00000,16.90290,2.88052
E01000116,5.30880,2.00000,9.46395,2.50637
E01000117,5.74797,2.00000,8.37491,2.49828
E01000118,5.74361,2.00000,8.03513,2.78196
E01000119,8.40527,2.00000,18.97280,2.31654
E01000120,7.20748,2.00000,12.77480,4.53662
E01000121,3.31441,1b,5.57601,1.79857
E01000122,3.91162,1b,5.54580,2.23885
E01000123,5.58762,2.00000,20.82220,0.00000
